article,version_number,version,name,image,id,combat,size,attributes,hitpoints,att,str,def,mage,range,attbns,strbns,amagic,mbns,arange,rngbns,dstab,dslash,dcrush,dmagic,drange
Feral Vampyre,6,Level 100,Feral Vampyre,[[File:Feral Vampyre (Temple Trekking).png|120px]],5641,100,1,vampyre1,135,105,76,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Feral Vampyre,7,Level 130,Feral Vampyre,[[File:Feral Vampyre (Temple Trekking).png|120px]],5642,130,1,vampyre1,185,120,116,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Green dragon,1,Level 79,Green dragon,[[File:Green dragon.png|290px]],"260,261,262,263,264,8073,8076,8082",79,4,"dragon,fiery",75,68,68,68,68,1,0,0,0,0,0,0,20,40,40,30,20
Green dragon,2,Level 88,Green dragon,[[File:Green dragon (3).png|290px]],"7868,7869,7870",88,4,"dragon,fiery",100,68,75,68,75,1,0,0,0,0,0,0,20,40,40,30,20
Jelly,1,Regular,Jelly,[[File:Jelly.png|250px]],"437,438,439,440,441,442",78,1,,75,45,45,120,45,1,0,0,0,0,0,0,0,0,0,0,0
Jelly,2,Wilderness Slayer Cave,Jelly,[[File:Jelly.png|250px]],"11241,11242,11243,11244,11245",78,1,,75,45,45,120,45,1,0,0,0,0,0,0,0,0,0,0,0
Chicken,1,Normal,Chicken,[[File:Chicken (1).png|120px]][[File:Chicken (2).png|120px]],"1173,1174,10495,10496",1,1,,3,1,1,1,1,1,-47,-42,0,0,0,0,-42,-42,-42,-42,-42
Chicken,2,Miscellania,Chicken,[[File:Chicken (1).png|120px]][[File:Chicken (6).png|120px]],"3661,3662",1,1,,3,1,1,1,1,1,-47,-42,0,0,0,0,-42,-42,-42,-42,-42
Chicken,3,Falador Farm,Chicken,[[File:Chicken (3).png|80px]][[File:Chicken (4).png|80px]][[File:Chicken (5).png|80px]],"2804,2805,2806",1,1,,3,1,1,1,1,1,-47,-42,0,0,0,0,-42,-42,-42,-42,-42
Fire giant,1,Level 86,Fire giant,[[File:Fire giant.png|70px]][[File:Fire giant (2).png|70px]][[File:Fire giant (3).png|70px]][[File:Fire giant (4).png|70px]][[File:Fire giant (5).png|70px]][[File:Fire giant (6).png|70px]],"2075,2076,2077,2078,2079,2080,2081,2082,2083,2084",86,2,fiery,111,65,65,65,1,1,29,31,0,0,0,0,0,3,2,0,0
Fire giant,2,Level 104,Fire giant,[[File:Fire giant (6).png|120px]],7252,104,2,fiery,130,65,65,120,1,1,50,20,0,0,0,0,20,10,10,50,-10
Fire giant,3,Level 109,Fire giant,[[File:Fire giant (5).png|120px]],7251,109,2,fiery,150,90,80,65,1,1,29,31,0,0,0,0,0,3,2,0,0
Moss giant,1,Level 42,Moss giant,"[[File:Moss giant.png|72px]][[File:Moss giant (level 42, 2).png|72px]][[File:Moss giant (level 42, 3).png|72px]][[File:Moss giant (level 42, 4).png|72px]]","2090,2091,2092,2093,7262",42,2,,60,30,30,30,1,1,33,31,0,0,0,0,0,0,0,0,0
Moss giant,2,Level 48,Moss giant,"[[File:Moss giant (level 48, 1).png|120px]][[File:Moss giant (level 48, 2).png|120px]]","3851,3852",48,2,,85,30,30,30,1,1,33,31,0,0,0,0,0,0,0,0,0
Moss giant,3,Level 84,Moss Giant,[[File:Moss Giant (level 84).png|150px]],8736,84,2,,120,60,60,60,1,1,66,62,0,0,0,0,0,0,0,0,0
Rock Crab,1,Active,Rock Crab,[[File:Rock crab (exposed).png|200px]],"100,102",13,1,,50,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Rock Crab,2,Hidden,Rocks,[[File:Rock crab (hidden).png|200px]],"101,103",13,1,,50,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Farmer,,,Farmer,[[File:Farmer.png|150px]],"3114,3243,3244,3245,3250,3251",7,1,,12,3,4,8,1,1,5,6,0,0,0,0,0,0,0,0,0
Experiment,1,Level 51,Experiment,[[File:Experiment (level 51).png|110px]],1273,51,2,,40,40,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Experiment,2,Level 25 (spider),Experiment,[[File:Experiment (level 25 arachnid).png|150px]],1274,25,2,,100,1,1,30,1,1,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,Level 25 (sheep),Experiment,[[File:Experiment (level 25).png|110px]],1275,25,1,,100,1,1,30,1,1,0,0,0,0,0,0,0,0,0,0,0
Dark wizard,1,Level 7,Dark wizard,[[File:Dark wizard.png|120px]],"512,5086,5087",7,1,,12,5,2,5,6,1,0,0,0,0,0,0,0,0,0,3,0
Dark wizard,2,Level 11,Dark wizard,[[File:Dark wizard (red).png|120px]],"2058,2059",11,1,,15,5,5,10,10,1,0,0,0,0,0,0,0,0,0,5,0
Dark wizard,3,Level 20,Dark wizard,[[File:Dark wizard.png|120px]],"510,5088,5089",20,1,,24,17,17,14,22,1,0,0,0,0,0,0,0,0,0,3,0
Dark wizard,4,Level 22,Dark wizard,[[File:Dark wizard (red).png|120px]],2057,22,1,,25,20,10,15,25,1,0,0,0,0,0,0,0,0,0,5,0
Dark wizard,5,Level 23,Dark wizard,[[File:Dark wizard (red).png|120px]],2056,23,1,,25,20,10,20,25,1,0,0,0,0,0,0,0,0,0,5,0
Minotaur,1,Level 12,Minotaur,[[File:Minotaur.png|120px]],2481,12,1,,10,12,10,10,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Minotaur,2,Level 27,Minotaur,[[File:Minotaur.png|120px]],2483,27,1,,22,23,25,25,1,1,0,0,0,0,0,0,-10,-10,-10,21,-10
Chaos druid,,,Chaos druid,[[File:Chaos druid.png|130px]],520,13,1,,20,8,8,12,10,1,0,0,0,0,0,0,0,0,0,0,0
Bat,,,Bat,[[File:Bat.png]],"2827,10888",6,1,,8,5,5,5,1,1,0,0,0,0,0,0,2,2,5,2,0
Black Knight Titan,1,Normal,Black Knight Titan,[[File:Black Knight Titan.png|180px]],4067,120,1,,142,91,100,91,1,1,27,22,0,0,0,0,18,27,18,1000,1000
Black Knight Titan,2,Nightmare Zone,Black Knight Titan,[[File:Black Knight Titan.png|180px]],6360,120,1,,142,91,100,91,1,1,27,22,0,0,0,0,18,27,18,1000,1000
Black Knight Titan,3,Hard,Black Knight Titan (hard),[[File:Black Knight Titan.png|180px]],6299,210,1,,255,182,200,91,1,1,27,22,0,0,0,0,18,27,18,1000,1000
Bush snake,1,1,Bush snake,[[File:Bush snake.png|200px]],6102,35,1,,25,25,25,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Bush snake,2,2,Bush snake,[[File:Bush snake.png|200px]],6103,35,1,,25,25,25,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Broodoo victim,1,Green,Broodoo victim,[[File:Broodoo victim (green).png|120px]],"6408,6409",60,1,,100,0,0,26,60,1,0,0,25,0,0,0,20,20,20,0,0
Broodoo victim,2,Yellow,Broodoo victim,[[File:Broodoo victim (yellow).png|120px]],"6410,6411",60,1,,100,0,0,26,60,1,0,0,25,0,0,0,20,20,20,0,0
Broodoo victim,3,White,Broodoo victim,[[File:Broodoo victim (white).png|120px]],"6412,6413",60,1,,100,0,0,26,60,1,0,0,25,0,0,0,20,20,20,0,0
Infernal Mage,,,Infernal Mage,[[File:Infernal Mage.png|150px]],"443,444,445,446,447",66,1,,60,1,1,60,75,1,0,0,0,0,0,0,0,0,0,40,0
Lesser demon,1,Level 82,Lesser demon,[[File:Lesser demon.png|160px]],"2005,2006,2007,2008,2018,7656,7657,7664",82,2,demon,79,68,70,71,1,1,0,0,0,0,0,0,0,0,0,-10,0
Lesser demon,2,Level 87,Lesser demon,[[File:Lesser demon (lv 87).png|150px]],7247,87,2,demon,87,80,70,71,1,1,0,0,0,0,0,0,0,0,0,-10,0
Lesser demon,3,Level 94,Lesser demon,[[File:Lesser demon (lv 94).png|160px]],7248,94,2,demon,98,80,70,85,1,1,0,0,0,0,0,0,0,0,0,-10,0
Lesser demon,4,Level 94 (Wilderness Slayer Cave),Lesser demon,[[File:Lesser demon (5).png|160px]],"7865,7866,7867",94,2,demon,110,68,85,71,1,1,0,0,0,0,0,0,0,0,0,-10,0
Cow,1,1,Cow,[[File:Cow (1).png|200px]],2790,2,2,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Cow,2,2,Cow,[[File:Cow (2).png|200px]],2791,2,2,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Cow,3,3,Cow,[[File:Cow (3).png|200px]],2793,2,2,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Cow,4,Isle of Souls,Cow,[[File:Cow (Isle of Souls).png|200px]],2795,2,2,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Cow,5,Zanaris,Cow,[[File:Cow (Zanaris).png|200px]],5842,2,2,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Giant Mole,1,Normal,Giant Mole,[[File:Giant Mole.png|250px]],5779,230,3,,200,200,200,200,200,1,0,0,0,0,0,0,60,80,100,80,60
Giant Mole,2,PvM Arena,Giant Mole,[[File:Giant Mole.png|250px]],6499,230,3,,200,200,200,200,200,1,0,0,0,0,0,0,60,80,100,80,60
Scorpion,1,Level 14,Scorpion,[[File:Scorpion.png|250px]],3024,14,2,,17,11,12,11,1,1,0,0,0,0,0,0,5,15,15,0,5
Scorpion,2,Level 37,Scorpion,[[File:Scorpion (Level 37).png|250px]],2480,37,2,,37,31,32,31,1,1,0,0,0,0,0,0,35,15,15,30,35
Scorpion,3,Level 38,Scorpion,[[File:Scorpion (Level 38).png|250px]],5242,38,1,,15,50,50,10,10,1,100,100,0,0,0,0,0,0,0,0,0
Scorpion,4,Level 59,Scorpion,[[File:Scorpion.png|250px]],2479,59,2,,55,50,52,50,1,1,0,0,0,0,0,0,5,15,15,0,55
Cave bug,1,Level 6,Cave bug,[[File:Cave bug (level 6).png|250px]],481,6,1,,5,6,5,6,1,1,0,0,0,0,0,0,10,10,5,5,10
Cave bug,2,Level 96,Cave bug,[[File:Cave bug (level 96).png|250px]],483,96,2,,93,82,80,84,1,1,0,0,0,0,0,0,72,59,35,25,95
Jail guard,1,1,Jail guard,[[File:Jail guard (1).png|150px]],4276,26,1,,32,19,23,21,1,1,9,5,0,0,0,0,8,9,10,4,9
Jail guard,2,2,Jail guard,[[File:Jail guard (2).png|150px]],4277,26,1,,32,19,23,21,1,1,9,5,0,0,0,0,8,9,10,4,9
Jail guard,3,3,Jail guard,[[File:Jail guard (3).png|150px]],4278,26,1,,32,19,23,21,1,1,9,5,0,0,0,0,8,9,10,4,9
Jail guard,4,4,Jail guard,[[File:Jail guard (4).png|150px]],4279,26,1,,32,19,23,21,1,1,9,5,0,0,0,0,8,9,10,4,9
Mugger,,,Mugger,[[File:Mugger.png|120px]],"513,1461,6996",6,1,,8,5,5,5,1,1,0,-21,0,0,0,0,0,0,0,0,0
Ogre,1,Level 53,Ogre,[[File:Ogre.png|150px]],"136,2095,2096",53,2,,60,43,43,43,1,1,22,20,0,0,0,0,0,0,0,0,0
Ogre,2,Level 58,Ogre,[[File:Ogre (GWD).png|150px]],2233,58,2,,70,46,48,43,1,1,22,21,0,0,0,0,0,0,0,0,0
Ogre,3,Level 63,Ogre,[[File:Ogre.png|150px]],1153,63,2,,60,54,54,54,1,1,8,6,0,0,0,0,19,23,24,0,0
Highwayman,1,No hood,Highwayman,[[File:Highwayman.png|150px]],518,5,1,,13,2,2,2,1,1,6,7,0,0,0,0,0,3,2,0,2
Highwayman,2,Hood,Highwayman,[[File:Highwayman (hood).png|150px]],519,5,1,,13,2,2,4,1,1,6,7,0,0,0,0,0,3,2,0,2
Icefiend,1,Level 13,Icefiend,[[File:Icefiend.png|120px]],4813,13,1,demon,15,10,10,12,1,1,0,0,0,0,0,0,0,0,0,0,0
Icefiend,2,Level 18,Icefiend,[[File:Icefiend.png|120px]],3140,18,1,demon,20,12,16,19,1,1,0,0,0,0,0,0,0,0,0,0,0
Cyclops,1,Level 56 (Ardougne Zoo),Cyclops,[[File:Cyclops.png|50px]],2097,56,2,,55,47,50,46,1,1,0,0,0,0,0,0,0,0,0,0,0
Cyclops,2,Level 56 (Warriors' Guild),Cyclops,"[[File:Cyclops.png|50px]][[File:Cyclops (level 56, 2).png|70px]][[File:Cyclops (level 56, 3).png|70px]][[File:Cyclops (level 56, 4).png|70px]]","2463,2465,2467",56,2,,75,47,50,26,1,1,0,0,0,0,0,0,0,0,0,0,0
Cyclops,3,Level 56 (Catacombs),Cyclops,"[[File:Cyclops (level 56, 4).png|70px]]",7271,56,2,,75,47,50,26,1,1,0,0,0,0,0,0,0,0,0,0,0
Cyclops,4,Level 76 (Warriors' Guild),Cyclops,"[[File:Cyclops (level 76, 1).png|70px]][[File:Cyclops (level 76, 2).png|70px]][[File:Cyclops (level 76, 3).png|70px]][[File:Cyclops (level 76, 4).png|70px]]","2464,2466,2468",76,2,,100,65,65,35,1,1,0,0,0,0,0,0,0,0,0,0,0
Cyclops,5,Level 76 (Catacombs),Cyclops,"[[File:Cyclops (level 76, 2).png|70px]]",7270,76,2,,100,65,65,35,1,1,0,0,0,0,0,0,0,0,0,0,0
Cyclops,6,Level 81 (God Wars Dungeon),Cyclops,"[[File:Cyclops (GWD).png|80px]][[File:Cyclops (GWD, 2).png|100px]]","2235,2236",81,2,,110,60,70,48,1,1,22,30,0,0,0,0,0,0,0,0,0
Cyclops,7,Level 106 (Warriors' Guild Basement),Cyclops,"[[File:Cyclops (level 56, 2).png|70px]][[File:Cyclops (level 56, 3).png|70px]][[File:Cyclops (level 56, 4).png|70px]][[File:Cyclops (level 76, 1).png|70px]][[File:Cyclops (level 76, 2).png|70px]][[File:Cyclops (level 76, 4).png|70px]]","2137,2138,2139,2140,2141,2142",106,2,,150,95,75,55,1,1,0,0,0,0,0,0,0,0,0,0,0
Dungeon rat,1,Small,Dungeon rat,[[File:Dungeon rat.png|250px]],"3607,3608,3609",12,1,,12,10,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0
Dungeon rat,2,Large,Dungeon rat,[[File:Dungeon rat.png|250px]],"2865,2866,2867",12,2,,12,10,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0
Imp,1,Regular,Imp,[[File:Imp.png|220px]],5007,2,1,demon,8,1,1,1,1,1,-42,-37,0,0,0,0,-42,-42,-42,-42,-42
Imp,2,GWD,Imp,[[File:Imp (GWD).png|180px]],3134,7,1,demon,10,5,5,6,1,1,-42,-37,0,0,0,0,-42,-42,-42,-42,-42
Ice warrior,1,Normal,Ice warrior,[[File:Ice warrior.png|130px]],"2841,2842",57,1,,59,47,47,47,1,1,0,0,0,0,0,0,30,40,20,10,30
Ice warrior,2,Ice Queen's Lair,Ice warrior,[[File:Ice warrior (Ice Queen's Lair).png|130px]],2851,57,1,,59,47,47,47,1,1,0,0,0,0,0,0,30,40,20,10,30
TzTok-Jad,1,Normal,TzTok-Jad,[[File:TzTok-Jad.png|280px]],3127,702,5,,250,640,960,480,480,960,0,0,60,0,0,0,0,0,0,0,0
TzTok-Jad,2,PvM Arena,TzTok-Jad,[[File:TzTok-Jad.png|280px]],6506,702,5,,250,640,960,480,480,960,0,0,60,0,0,0,0,0,0,0,0
Tortured soul,,,Tortured soul,[[File:Tortured soul.png|120px]],2999,59,1,"undead, spectral",51,52,62,38,1,1,0,0,0,0,0,0,0,0,0,0,0
Guard,1,Edgeville,Guard,[[File:Guard (Edgeville).png|180px]],3254,21,1,,22,19,18,14,1,1,4,5,0,0,0,0,18,25,19,-4,20
Guard,2,Falador (sword),Guard,"[[File:Guard (Falador, sword).png|180px]]",3269,21,1,,22,19,18,14,1,1,4,5,0,0,0,0,18,25,19,-4,20
Guard,3,Falador (crossbow),Guard,"[[File:Guard (Falador, crossbow).png|180px]]",3270,22,1,,22,15,15,16,1,26,6,10,0,0,0,10,13,17,14,-4,15
Guard,4,Falador (battleaxe),Guard,"[[File:Guard (Falador, battleaxe).png|180px]]",3271,19,1,,22,15,15,16,1,1,6,10,0,0,0,0,5,5,5,-4,5
Guard,5,Falador (longbow),Guard,"[[File:Guard (Falador, longbow).png|90px]][[File:Guard (Falador, longbow 2).png|90px]][[File:Guard (Falador, longbow 3).png|90px]]","3272,3273,3274",22,1,,22,15,15,16,1,26,6,10,0,0,0,0,5,5,5,-4,5
Guard,6,Doric's hut,Guard,[[File:Guard (Doric's hut).png|180px]],3283,19,1,,22,15,15,18,1,1,6,10,0,0,0,0,5,5,5,-4,5
Guard,7,Varrock,Guard,"[[File:Guard (Varrock, 1).png|120px]] [[File:Guard (Varrock, 2).png|120px]]","3010,3011",21,1,,22,19,18,14,1,1,4,5,0,0,0,0,24,30,25,-9,25
Guard,8,East Ardougne,Guard,[[File:Guard (East Ardougne).png|180px]],5418,20,1,,22,17,18,13,1,1,9,7,0,0,0,0,24,14,19,4,16
Guard,9,Port Sarim,Guard,"[[File:Guard (Port Sarim, 1).png|70px]][[File:Guard (Port Sarim, 2).png|70px]][[File:Guard (Port Sarim, 3).png|70px]][[File:Guard (Port Sarim, 4).png|70px]][[File:Guard (Port Sarim, 5).png|70px]]","1546,1547,1548,1549,1550",21,1,,22,19,18,14,1,1,4,5,0,0,0,0,18,25,19,-4,20
King Roald,,,King Roald,[[File:King Roald.png|120px]],"4163,6389",47,1,,75,35,30,30,1,1,0,-21,0,0,0,0,0,0,0,0,0
King Roald,,,King Roald,[[File:King Roald.png|120px]],6328,188,1,,150,140,120,30,1,1,0,-21,0,0,0,0,0,0,0,0,0
Kalphite Queen,1,Crawling,Kalphite Queen,[[File:Kalphite Queen.png|290px]],"963,4303,6500",333,5,kalphite,255,300,300,300,150,1,0,0,0,0,0,0,50,50,10,100,100
Kalphite Queen,2,Airborne,Kalphite Queen,[[File:Kalphite Queen 2nd form.png|270px]],"965,4304,6501",333,5,kalphite,255,300,300,300,150,1,0,0,0,0,0,0,100,100,100,10,10
Abyssal demon,1,Standard,Abyssal demon,[[File:Abyssal demon.png|200px]],"415, 416",124,1,demon,150,97,67,135,1,1,0,0,0,0,0,0,20,20,20,0,20
Abyssal demon,2,Catacombs of Kourend,Abyssal demon,[[File:Abyssal demon (Catacombs of Kourend).png|200px]],7241,124,1,demon,150,97,67,135,1,1,0,0,0,0,0,0,20,20,20,0,20
Abyssal demon,3,Wilderness Slayer Cave,Abyssal demon,[[File:Abyssal_demon.png|200px]],11239,124,1,demon,150,97,67,135,1,1,0,0,0,0,0,0,20,20,20,0,20
Wizard,,,Wizard,[[File:Wizard.png|120px]],3257,9,1,,14,8,8,5,10,1,0,0,0,0,0,0,0,0,0,3,0
Cave crawler,,,Cave crawler,[[File:Cave crawler (1).png|280px]],"406,407,408,409",23,2,,22,22,18,18,1,1,0,0,0,0,0,0,10,10,5,5,10
Aberrant spectre,,,Aberrant spectre,[[File:Aberrant spectre.png|150px]],"2,3,4,5,6,7",96,2,"undead, spectral",90,1,1,90,105,1,0,0,0,0,0,0,20,20,20,0,15
Possessed Priest,,,Possessed Priest,[[File:Possessed Priest.png|150px]],4210,91,1,,90,90,90,40,60,1,0,90,0,0,0,0,90,0,90,0,0
Pyrefiend,1,Regular,Pyrefiend,[[File:Pyrefiend.png|120px]],"433,434,435,436",43,1,"fiery, demon",45,52,30,22,1,1,0,0,0,0,0,0,10,10,10,0,10
Pyrefiend,2,GWD,Pyrefiend,[[File:Pyrefiend.png|120px]],3139,48,1,"fiery, demon",48,60,36,22,1,1,0,0,0,0,0,0,10,10,10,0,10
Man,1,Blue,Man,[[File:Man (blue).png|120px]],"3106,6818,6987,8858",2,1,,7,1,1,1,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Man,2,Red,Man,[[File:Man (red).png|120px]],"3107,6988",2,1,,7,1,1,1,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Man,3,Green,Man,[[File:Man.png|120px]],"3108,6989",2,1,,7,1,1,1,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Man,4,Cavalier,Man,[[File:Man (cavalier).png|120px]],3298,2,1,,7,1,1,1,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Man,5,Backpack,Man,[[File:Man (backpack).png|120px]],"3109,6815",2,1,,7,1,1,1,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Man,6,Backpack (Musa Point),Man,[[File:Man (backpack).png|120px]],3110,2,1,,7,1,1,1,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
