"itemId";"itemName";"imageIcon";"imageFull";"itemType"
1079;"Imbued guthix max cape";"";"1174";"cape"
1080;"Imbued zamorak max cape";"";"1180";"cape"
1081;"Imbued saradomin cape";"";"1176";"cape"
1082;"Imbued guthix cape";"";"1173";"cape"
1083;"Imbued zamorak cape";"";"1179";"cape"
1084;"Mythical cape";"";"1516";"cape"
1085;"Ava's assembler";"";"274";"cape"
1086;"Assembler max cape";"";"267";"cape"
1087;"Xeric's guard";"";"2348";"cape"
1088;"Xeric's warrior";"";"2351";"cape"
1089;"Xeric's sentinel";"";"2349";"cape"
1090;"Xeric's general";"";"2347";"cape"
1091;"Xeric's champion";"";"2346";"cape"
1092;"Sinhaza shroud tier 1";"";"1946";"cape"
1093;"Sinhaza shroud tier 2";"";"1947";"cape"
1094;"Sinhaza shroud tier 4";"";"1949";"cape"
1095;"Sinhaza shroud tier 3";"";"1948";"cape"
1096;"Sinhaza shroud tier 5";"";"1950";"cape"
1097;"Grain (Recruitment Drive)";"";"1036";"cape"
1098;"Scroll sack";"";"1888";"cape"
1099;"Hooded cloak";"";"1161";"cape"
1100;"Fish sack";"";"921";"cape"
1101;"Ornate cape";"";"1571";"cape"
1102;"Guthix cloak";"";"1103";"cape"
1103;"Pink cape";"";"1597";"cape"
1104;"Purple cape";"";"1652";"cape"
1105;"Team-41 cape";"";"2142";"cape"
1106;"Accumulator max cape";"";"59";"cape"
1107;"Snow imp costume tail";"";"1994";"cape"
1108;"Ardougne cloak 4";"";"241";"cape"
1109;"Ardougne cloak 3";"";"240";"cape"
1110;"Ardougne cloak 2";"";"239";"cape"
1111;"Ardougne cloak 1";"";"238";"cape"
1112;"Team-10 cape";"";"2108";"cape"
1113;"Team-37 cape";"";"2137";"cape"
1114;"Jester cape";"";"1258";"cape"
1115;"Shoulder parrot";"";"1935";"cape"
1116;"Cape of skulls";"";"597";"cape"
1117;"Wolf cloak";"";"2329";"cape"
1118;"Thieving bag";"";"2158";"cape"
1119;"3rd age druidic cloak";"";"33";"cape"
1840;"Iron 2h sword";"";"1200";"2h"
1841;"Iron spear";"";"1239";"2h"
1842;"Steel spear";"";"2074";"2h"
1843;"Black 2h sword";"";"345";"2h"
1844;"Adamant claws";"";"72";"2h"
1845;"Adamant halberd";"";"82";"2h"
1846;"Adamant spear";"";"150";"2h"
1847;"Anger spear";"";"213";"2h"
1848;"Bronze 2h sword";"";"519";"2h"
1849;"Bronze claws";"";"527";"2h"
1850;"Iron claws";"";"1208";"2h"
1851;"Mithril 2h sword";"";"1398";"2h"
1852;"Mithril halberd";"";"1415";"2h"
1853;"Bronze spear";"";"558";"2h"
1854;"Rune 2h sword";"";"1767";"2h"
1855;"Rune claws";"";"1775";"2h"
1856;"Rune halberd";"";"1783";"2h"
1857;"Rune spear";"";"1822";"2h"
1858;"Steel 2h sword";"";"2033";"2h"
1859;"Steel claws";"";"2041";"2h"
1860;"Barrelchest anchor";"";"323";"2h"
1861;"Comp ogre bow";"";"657";"2h"
1862;"Crystal bow";"";"690";"2h"
1863;"Dragon 2h sword";"";"779";"2h"
1864;"Gadderhammer";"";"971";"2h"
1865;"Granite maul";"";"1044";"2h"
1866;"Guthan's warspear";"";"1099";"2h"
1867;"Maple longbow";"";"1364";"2h"
1868;"Maple shortbow";"";"1366";"2h"
1869;"Oak longbow";"";"1531";"2h"
1870;"Ogre bow";"";"1546";"2h"
1871;"Saradomin mjolnir";"";"1878";"2h"
1872;"Seercull";"";"1892";"2h"
1873;"Shadow sword";"";"1897";"2h"
1874;"Shortbow";"";"1931";"2h"
1875;"Spatula";"";"1996";"2h"
1876;"Toktz-mej-tal";"";"2164";"2h"
1877;"Verac's flail";"";"2237";"2h"
1878;"Willow shortbow";"";"2324";"2h"
1879;"Dragon halberd";"";"798";"2h"
1880;"Black halberd";"";"379";"2h"
1881;"White halberd";"";"2299";"2h"
1882;"White 2h sword";"";"2284";"2h"
1883;"Dark bow";"";"701";"2h"
1884;"Tzhaar-ket-om";"";"2224";"2h"
1885;"Dragon spear";"";"821";"2h"
1886;"Pharaoh's sceptre";"";"1591";"2h"
1887;"Willow comp bow";"";"2322";"2h"
1888;"Yew shortbow";"";"2368";"2h"
1889;"Longbow";"";"1327";"2h"
1890;"Oak shortbow";"";"1533";"2h"
1891;"Magic longbow";"";"1353";"2h"
1892;"Yew comp bow";"";"2365";"2h"
1893;"Magic comp bow";"";"1351";"2h"
1894;"Training bow";"";"2187";"2h"
1895;"Willow longbow";"";"2323";"2h"
1896;"Swamp lizard";"";"2094";"2h"
1897;"Leaf-bladed spear";"";"1303";"2h"
1898;"Yew longbow";"";"2366";"2h"
1899;"Crystal halberd";"";"691";"2h"
1900;"Torag's hammers";"";"2178";"2h"
1901;"Black claws";"";"357";"2h"
1902;"White claws";"";"2292";"2h"
1903;"Mithril claws";"";"1406";"2h"
1904;"Fixed device";"";"926";"2h"
1905;"Cursed goblin bow";"";"694";"2h"
1906;"Dharok's greataxe";"";"761";"2h"
1907;"Armadyl godsword";"";"255";"2h"
1908;"Bandos godsword";"";"292";"2h"
1909;"Saradomin godsword";"";"1871";"2h"
1910;"Zamorakian spear";"";"2399";"2h"
1911;"Zamorak godsword";"";"2381";"2h"
1913;"Guthix mjolnir";"";"1114";"2h"
1914;"Zamorak mjolnir";"";"2388";"2h"
1915;"Black salamander";"";"413";"2h"
1916;"Red salamander";"";"1717";"2h"
1917;"Sled";"";"1979";"2h"
1918;"Signed oak bow";"";"1936";"2h"
1919;"Crate with zanik";"";"679";"2h"
1920;"Orange salamander";"";"1569";"2h"
1921;"Saradomin sword";"";"1886";"2h"
1922;"Katana";"";"1281";"2h"
1923;"3rd age bow";"";"3";"2h"
1924;"Event rpg";"";"878";"2h"
1925;"Magic shortbow (i)";"";"1356";"2h"
1926;"Saradomin's blessed sword";"";"1887";"2h"
1927;"Granite maul (or)";"";"1045";"2h"
1928;"Toxic blowpipe";"";"2184";"2h"
1929;"Oddskull";"";"1543";"2h"
1930;"Abyssal bludgeon";"";"54";"2h"
1931;"Heavy ballista";"";"1144";"2h"
1932;"Light ballista";"";"1318";"2h"
1933;"Gilded 2h sword";"";"985";"2h"
1934;"Gilded spear";"";"1001";"2h"
1935;"Armadyl godsword (or)";"";"256";"2h"
1936;"Bandos godsword (or)";"";"293";"2h"
1937;"Saradomin godsword (or)";"";"1872";"2h"
1938;"Zamorak godsword (or)";"";"2382";"2h"
1939;"Large spade";"";"1294";"2h"
1940;"Heavy casket";"";"1145";"2h"
1941;"Spear (Last Man Standing)";"";"1997";"2h"
1942;"Elder maul";"";"858";"2h"
1943;"Giant present";"";"984";"2h"
1944;"Twisted bow";"";"2217";"2h"
1945;"Dinh's bulwark";"";"772";"2h"
1946;"Starter bow";"";"2026";"2h"
1947;"Craw's bow";"";"680";"2h"
1948;"Crystal bow (i)";"";"690";"2h"
1949;"Crystal halberd (i)";"";"691";"2h"
1950;"Bronze halberd";"";"537";"2h"
1951;"Merfolk trident";"";"1381";"2h"
1952;"Mithril spear";"";"1436";"2h"
1953;"Scythe of vitur";"";"1890";"2h"
1954;"Nunchaku";"";"1526";"2h"
1955;"Hill giant club";"";"1150";"2h"
1956;"Karil's crossbow";"";"1278";"2h"
1957;"Magic shortbow";"";"1356";"2h"
1958;"Vesta's spear";"";"2243";"2h"
1959;"Iron halberd";"";"1217";"2h"
1960;"Steel halberd";"";"2052";"2h"
1961;"Dragon claws";"";"789";"2h"
1962;"Giant easter egg";"";"983";"2h"
1963;"Tzhaar-ket-om (t)";"";"2225";"2h"
1964;"Gilded spade";"";"1000";"2h"
1965;"Dual sai";"";"841";"2h"
1966;"Adamant 2h sword";"";"63";"2h"
1967;"Black spear";"";"426";"2h"
1968;"Bronze platebody";"";"548";"body"
1969;"Iron platebody";"";"1228";"body"
1970;"Dragon chainbody";"";"787";"body"
1971;"Steel chainbody";"";"2040";"body"
1972;"Adamant chainbody";"";"71";"body"
1973;"Adamant platebody";"";"130";"body"
1974;"Adamant platebody (g)";"";"131";"body"
1975;"Adamant platebody (t)";"";"137";"body"
1976;"Mithril chainbody";"";"1405";"body"
1977;"Mithril platebody";"";"1426";"body"
1978;"Rune chainbody";"";"1774";"body"
1979;"Rune platebody";"";"1798";"body"
1980;"Rune platebody (g)";"";"1799";"body"
1981;"Rune platebody (t)";"";"1805";"body"
1982;"Steel platebody";"";"2064";"body"
1983;"Blue d'hide body";"";"446";"body"
1984;"Bomber jacket";"";"493";"body"
1985;"Brown apron";"";"566";"body"
1986;"Builder's shirt";"";"578";"body"
1987;"Camo top";"";"592";"body"
1988;"Carnillean armour";"";"598";"body"
1989;"Desert camo top";"";"752";"body"
1990;"Desert shirt";"";"757";"body"
1991;"Dharok's platebody";"";"762";"body"
1992;"Doctors' gown";"";"775";"body"
1993;"Enchanted top";"";"876";"body"
1994;"Fighter torso";"";"912";"body"
1995;"Frog-leather body";"";"966";"body"
1996;"Gilded platebody";"";"996";"body"
1997;"Graahk top";"";"1029";"body"
1998;"Granite body";"";"1037";"body"
1999;"Green d'hide body";"";"1059";"body"
2000;"Guthan's platebody";"";"1098";"body"
2001;"Ham shirt";"";"1130";"body"
2002;"Infinity top";"";"1193";"body"
2003;"Initiate hauberk";"";"1195";"body"
2004;"Jungle camo top";"";"1263";"body"
2005;"Kyatt top";"";"1293";"body"
2006;"Larupia top";"";"1297";"body"
2007;"Leather body";"";"1305";"body"
2008;"Mime top";"";"1386";"body"
2009;"Moonclan armour";"";"1452";"body"
2010;"Polar camo top";"";"1629";"body"
2011;"Prince tunic";"";"1637";"body"
2012;"Proselyte hauberk";"";"1643";"body"
2013;"Rock-shell plate";"";"1746";"body"
2014;"Saradomin d'hide";"";"1867";"body"
2015;"Saradomin platebody";"";"1879";"body"
2016;"Shade robe top";"";"1896";"body"
2017;"Skeleton shirt";"";"1960";"body"
2018;"Slave shirt";"";"1969";"body"
2019;"Snakeskin body";"";"1984";"body"
2020;"Spined body";"";"2002";"body"
2021;"Void knight top";"";"2264";"body"
2022;"White chainbody";"";"2291";"body"
2023;"Blue wizard robe";"";"476";"body"
2024;"Zombie shirt";"";"2409";"body"
2025;"Plague jacket";"";"1625";"body"
2026;"Yak-hide armour (top)";"";"2356";"body"
2027;"White apron";"";"2285";"body"
2028;"Ghostly robe (top)";"";"980";"body"
2029;"Guthix platebody";"";"1115";"body"
2030;"White platebody";"";"2307";"body"
2031;"Black platebody";"";"398";"body"
2032;"Studded body";"";"2087";"body"
2033;"Monk's robe top";"";"1446";"body"
2034;"Priest gown (top)";"";"1634";"body"
2035;"Khazard armour";"";"1285";"body"
2036;"Splitbark body";"";"2009";"body"
2037;"Lunar torso";"";"1345";"body"
2038;"Hardleather body";"";"1137";"body"
2039;"Dragon platebody";"";"813";"body"
2040;"Black robe";"";"412";"body"
2041;"Torag's platebody";"";"2180";"body"
2042;"Verac's brassard";"";"2236";"body"
2043;"Lederhosen top";"";"1315";"body"
2044;"Princess blouse";"";"1638";"body"
2045;"Black elegant shirt";"";"373";"body"
2046;"Ahrim's robetop";"";"159";"body"
2047;"Skeletal top";"";"1955";"body"
2048;"Robe of elidinis (top)";"";"1739";"body"
2049;"Zamorak monk top";"";"2390";"body"
2050;"Bandos chestplate";"";"284";"body"
2051;"Armadyl chestplate";"";"247";"body"
2052;"Chicken wings";"";"617";"body"
2053;"Vyrewatch top";"";"2272";"body"
2054;"Citizen top";"";"639";"body"
2055;"Silly jester top";"";"1940";"body"
2056;"Karil's leathertop";"";"1280";"body"
2057;"Graceful top";"";"1035";"body"
2058;"Zamorak d'hide";"";"2377";"body"
2059;"Guthix d'hide";"";"1106";"body"
2060;"Zamorak robe top";"";"2395";"body"
2061;"Guthix robe top";"";"1119";"body"
2062;"Saradomin robe top";"";"1883";"body"
2063;"Druid's robe top";"";"839";"body"
2064;"Mourner top";"";"1471";"body"
2065;"Mystic robe top (dark)";"";"1509";"body"
2066;"Decorative armour (gold platebody)";"";"718";"body"
2067;"Decorative armour (white platebody)";"";"730";"body"
2068;"Decorative armour (red platebody)";"";"727";"body"
2069;"Decorative armour (magic top)";"";"723";"body"
2070;"Decorative armour (ranged top)";"";"726";"body"
2071;"Lumberjack top";"";"1336";"body"
2072;"Blue wizard robe (t)";"";"478";"body"
2073;"Black platebody (t)";"";"405";"body"
2074;"Blue d'hide body (g)";"";"447";"body"
2075;"Wood camo top";"";"2332";"body"
2076;"Bob's black shirt";"";"483";"body"
2077;"Bob's purple shirt";"";"486";"body"
2078;"Bob's blue shirt";"";"484";"body"
2079;"Bob's red shirt";"";"487";"body"
2080;"Bob's green shirt";"";"485";"body"
2081;"Blue d'hide body (t)";"";"448";"body"
2082;"Green d'hide body (g)";"";"1060";"body"
2083;"Green d'hide body (t)";"";"1061";"body"
2084;"Studded body (g)";"";"2088";"body"
2085;"Studded body (t)";"";"2089";"body"
2086;"Desert top";"";"758";"body"
2087;"Desert top (overcoat)";"";"759";"body"
2088;"Mystic robe top";"";"1508";"body"
2089;"Prospector jacket";"";"1648";"body"
2090;"Black desert shirt";"";"370";"body"
2091;"Black platebody (g)";"";"399";"body"
2092;"Tribal top (brown)";"";"2201";"body"
2093;"Tribal top (pink)";"";"2202";"body"
2094;"Tribal top (yellow)";"";"2203";"body"
2095;"Tribal top (blue)";"";"2200";"body"
2096;"Bandos platebody";"";"296";"body"
2097;"Armadyl platebody";"";"261";"body"
2098;"Ancient platebody";"";"203";"body"
2099;"Mithril platebody (t)";"";"1428";"body"
2100;"Iron platebody (g)";"";"1229";"body"
2101;"Musketeer tabard";"";"1486";"body"
2102;"Black wizard robe (g)";"";"435";"body"
2103;"Black wizard robe (t)";"";"436";"body"
2104;"Royal gown top";"";"1757";"body"
2105;"Red d'hide body (g)";"";"1696";"body"
2106;"Armadyl robe top";"";"265";"body"
2107;"Bandos robe top";"";"300";"body"
2108;"Ancient d'hide";"";"195";"body"
2109;"Armadyl d'hide";"";"251";"body"
2110;"Bandos d'hide";"";"288";"body"
2111;"Bronze platebody (t)";"";"550";"body"
2112;"Black d'hide body (t)";"";"360";"body"
2113;"Ancient robe top";"";"207";"body"
2114;"Bronze platebody (g)";"";"549";"body"
2115;"Mithril platebody (g)";"";"1427";"body"
2116;"Stripy pirate shirt (beige)";"";"2082";"body"
2117;"Stripy pirate shirt (red)";"";"2085";"body"
2118;"Stripy pirate shirt (blue)";"";"2083";"body"
2119;"Stripy pirate shirt (brown)";"";"2084";"body"
2120;"Dragon chainbody (g)";"";"788";"body"
2121;"Light infinity top";"";"26";"body"
2122;"Rangers' tunic";"";"1684";"body"
2123;"Dark infinity top";"";"707";"body"
2124;"Black d'hide body (g)";"";"359";"body"
2125;"White elegant blouse";"";"2294";"body"
2126;"Blue elegant blouse";"";"455";"body"
2127;"Blue elegant shirt";"";"457";"body"
2128;"Green elegant blouse";"";"1068";"body"
2129;"Green elegant shirt";"";"1070";"body"
2130;"Purple elegant blouse";"";"1653";"body"
2131;"Purple elegant shirt";"";"1655";"body"
2132;"Red elegant blouse";"";"1703";"body"
2133;"Red elegant shirt";"";"1705";"body"
2134;"Gold elegant shirt";"";"1017";"body"
2135;"Pink elegant blouse";"";"1598";"body"
2136;"Pink elegant shirt";"";"1600";"body"
2137;"Fremennik robe";"";"954";"body"
2138;"Ultimate ironman platebody";"";"2227";"body"
2139;"Ironman platebody";"";"1245";"body"
2140;"Santa jacket";"";"1849";"body"
2141;"Antisanta jacket";"";"226";"body"
2142;"Cow top";"";"672";"body"
2143;"Varrock armour 1";"";"2232";"body"
2144;"Varrock armour 2";"";"2233";"body"
2145;"Varrock armour 3";"";"2234";"body"
2146;"Varrock armour 4";"";"2235";"body"
2147;"Elite void top";"";"862";"body"
2148;"3rd age platebody";"";"42";"body"
2149;"3rd age robe top";"";"49";"body"
2150;"3rd age range top";"";"47";"body"
2151;"Woven top (blue)";"";"2342";"body"
2152;"Shirt (lilac)";"";"1928";"body"
2153;"Angler top";"";"216";"body"
2154;"Green robe top";"";"1079";"body"
2155;"Menaphite red top";"";"1380";"body"
2156;"Menaphite purple top";"";"1376";"body"
2157;"Blue robe top";"";"467";"body"
2158;"Cream robe top";"";"684";"body"
2159;"Pink robe top";"";"1605";"body"
2160;"Turquoise robe top";"";"2215";"body"
2161;"Grey robe top";"";"1090";"body"
2162;"Red robe top";"";"1716";"body"
2163;"Yellow robe top";"";"2364";"body"
2164;"Teal robe top";"";"2103";"body"
2165;"Purple robe top";"";"1663";"body"
2166;"Fremennik beige shirt";"";"934";"body"
2167;"Fremennik grey shirt";"";"946";"body"
2168;"Fremennik brown shirt";"";"941";"body"
2169;"Fremennik red shirt";"";"953";"body"
2170;"Fremennik blue shirt";"";"938";"body"
2171;"Gravedigger top";"";"1053";"body"
2172;"Deadman's chest";"";"715";"body"
2173;"Xerician top";"";"2354";"body"
2174;"Shayzien platebody (1)";"";"1921";"body"
2175;"Shayzien platebody (2)";"";"1922";"body"
2176;"Shayzien platebody (3)";"";"1923";"body"
2177;"Shayzien platebody (4)";"";"1924";"body"
2178;"Shayzien platebody (5)";"";"1925";"body"
2179;"Blue naval shirt";"";"463";"body"
2180;"Green naval shirt";"";"1075";"body"
2181;"Brown naval shirt";"";"568";"body"
2182;"Red naval shirt";"";"1712";"body"
2183;"Black naval shirt";"";"395";"body"
2184;"Purple naval shirt";"";"1659";"body"
2185;"Grey naval shirt";"";"1087";"body"
2186;"Farmer's jacket";"";"902";"body"
2187;"Farmer's shirt";"";"903";"body"
2188;"Bunny top";"";"584";"body"
2189;"Clue hunter garb";"";"651";"body"
2190;"Samurai shirt";"";"1842";"body"
2191;"Ankou top";"";"220";"body"
2192;"Robe top of darkness";"";"1740";"body"
2193;"Monk's robe top (g)";"";"1447";"body"
2194;"Golden apron";"";"1023";"body"
2195;"Steel platebody (t)";"";"2066";"body"
2196;"Steel platebody (g)";"";"2065";"body"
2197;"Gilded chainbody";"";"988";"body"
2198;"Dark tuxedo jacket";"";"710";"body"
2199;"Elder chaos top";"";"857";"body"
2200;"Evil chicken wings";"";"882";"body"
2201;"Pyromancer garb";"";"1667";"body"
2202;"Banshee top";"";"321";"body"
2203;"Hardcore ironman platebody";"";"1135";"body"
2204;"Corrupted platebody";"";"666";"body"
2205;"Ancestral robe top";"";"188";"body"
2206;"Shirt (brown)";"";"1927";"body"
2207;"Woven top (brown)";"";"2343";"body"
2208;"Snow imp costume body";"";"1989";"body"
2209;"Woven top (yellow)";"";"2344";"body"
2210;"Shirt (yellow)";"";"1929";"body"
2211;"Dragon platebody (g)";"";"814";"body"
2212;"Justiciar chestguard";"";"1265";"body"
2213;"Eggshell platebody";"";"853";"body"
2214;"Vesta's chainbody";"";"2240";"body"
2215;"Statius's platebody";"";"2030";"body"
2216;"Morrigan's leather body";"";"1461";"body"
2217;"Zuriel's robe top";"";"2413";"body"
2218;"Clown gown";"";"645";"body"
2219;"Tree top";"";"2194";"body"
2220;"Ornate top";"";"1574";"body"
2221;"Zamorak platebody";"";"2391";"body"
2222;"Red d'hide body (t)";"";"1697";"body"
2223;"Red d'hide body";"";"1695";"body"
2224;"Black d'hide body";"";"358";"body"
2225;"Mystic robe top (light)";"";"1511";"body"
2226;"Blue wizard robe (g)";"";"477";"body"
2227;"Gold elegant blouse";"";"1015";"body"
2228;"Mummy's body";"";"1477";"body"
2229;"Crier coat";"";"686";"body"
2230;"Light tuxedo jacket";"";"1324";"body"
2231;"Obsidian platebody";"";"1537";"body"
2232;"Bronze chainbody";"";"526";"body"
2233;"Rogue top";"";"1751";"body"
2234;"Iron platebody (t)";"";"1230";"body"
2235;"Mystic robe top (dusk)";"";"1510";"body"
2236;"Iron chainbody";"";"1207";"body"
2237;"Monk's robe top (t)";"";"1448";"body"
2238;"Sandwich lady top";"";"1844";"body"
2239;"Leather body (g)";"";"1306";"body"
2240;"Black platebody (h1)";"";"400";"body"
2241;"Black platebody (h2)";"";"401";"body"
2242;"Black platebody (h3)";"";"402";"body"
2243;"Black platebody (h4)";"";"403";"body"
2244;"Black platebody (h5)";"";"404";"body"
2245;"Adamant platebody (h1)";"";"132";"body"
2246;"Adamant platebody (h2)";"";"133";"body"
2247;"Adamant platebody (h3)";"";"134";"body"
2248;"Adamant platebody (h4)";"";"135";"body"
2249;"Adamant platebody (h5)";"";"136";"body"
2250;"Rune platebody (h1)";"";"1800";"body"
2251;"Rune platebody (h2)";"";"1801";"body"
2252;"Rune platebody (h3)";"";"1802";"body"
2253;"Rune platebody (h4)";"";"1803";"body"
2254;"Rune platebody (h5)";"";"1804";"body"
2255;"Gilded d'hide body";"";"989";"body"
2256;"3rd age druidic robe top";"";"35";"body"
2257;"Black chainbody";"";"355";"body"
2258;"Crossbow";"";"688";"weapon"
2259;"Bronze crossbow";"";"528";"weapon"
2260;"Bronze thrownaxe";"";"561";"weapon"
2261;"Iron pickaxe";"";"1227";"weapon"
2262;"Iron battleaxe";"";"1203";"weapon"
2263;"Iron dagger";"";"1210";"weapon"
2264;"Iron scimitar";"";"1237";"weapon"
2265;"Iron sword";"";"1241";"weapon"
2266;"Iron warhammer";"";"1243";"weapon"
2267;"Iron hasta";"";"1218";"weapon"
2268;"Steel mace";"";"2061";"weapon"
2269;"Steel sword";"";"2076";"weapon"
2270;"Steel battleaxe";"";"2036";"weapon"
2271;"Steel pickaxe";"";"2063";"weapon"
2272;"Steel crossbow";"";"2042";"weapon"
2273;"Steel thrownaxe";"";"2077";"weapon"
2274;"Steel longsword";"";"2060";"weapon"
2275;"Steel knife";"";"2059";"weapon"
2276;"Iron axe";"";"1202";"weapon"
2277;"Mithril axe";"";"1400";"weapon"
